order_id,order_date,customer_id,customer_name,city,state,region,product_id,product,category,quantity,unit_price,cost_price,discount_pct,discount_amount,shipping_cost,gross_revenue,net_revenue,total_cost,profit,profit_margin_pct,payment_mode,status,delivery_days,warehouse
O0002349,2024-01-01,C00182,Sneha Joshi,Pune,Maharashtra,West,P0118,Running Shoes 2,Sports,3,7252.97,4582.78,0,0.0,362.5,21758.91,21758.91,14110.84,7648.07,35.15,Net Banking,Delivered,4.0,WH-North
O0002801,2024-01-01,C01793,Isha Mishra,Bhopal,Madhya Pradesh,West,P0002,Laptop 2,Electronics,2,39817.31,28917.79,10,7963.46,193.18,79634.62,71671.16,58028.76,13642.4,19.03,Wallet,Delivered,1.0,WH-North
O0003004,2024-01-01,C00278,Aditya Sharma,Ahmedabad,Gujarat,West,P0086,Moisturizer 2,Beauty,1,3579.49,2737.79,5,178.97,54.42,3579.49,3400.52,2792.21,608.31,17.89,UPI,Delivered,7.0,WH-East
O0005577,2024-01-01,C02025,Kavya Gupta,Jaipur,Rajasthan,North,P0003,Laptop 3,Electronics,1,35712.24,29216.56,10,3571.22,288.81,35712.24,32141.02,29505.37,2635.65,8.2,UPI,Processing,,WH-South
O0007081,2024-01-01,C02434,Neha Prajapat,Mumbai,Maharashtra,West,P0111,Fiction Book 3,Books,2,1347.54,898.41,5,134.75,407.21,2695.08,2560.33,2204.03,356.3,13.92,UPI,Delivered,1.0,WH-South
O0008042,2024-01-01,C02995,Karan Yadav,Lucknow,Uttar Pradesh,North,P0077,Face Wash 1,Beauty,5,978.35,760.03,0,0.0,121.01,4891.75,4891.75,3921.16,970.59,19.84,Cash on Delivery,Delivered,1.0,WH-South
O0008079,2024-01-01,C01585,Isha Mehta,Kolkata,West Bengal,East,P0123,Football 3,Sports,5,11015.5,7107.46,10,5507.75,119.7,55077.5,49569.75,35657.0,13912.75,28.07,Net Banking,Delivered,3.0,WH-North
O0009005,2024-01-01,C01575,Aditya Joshi,Hyderabad,Telangana,South,P0030,Air Purifier 2,Home,3,4582.93,2813.88,25,3437.2,193.58,13748.79,10311.59,8635.22,1676.37,16.26,UPI,Delivered,7.0,WH-North
O0009026,2024-01-01,C02945,Nisha Joshi,Ahmedabad,Gujarat,West,P0118,Running Shoes 2,Sports,1,8200.38,6263.06,0,0.0,170.48,8200.38,8200.38,6433.54,1766.84,21.55,UPI,Delivered,3.0,WH-West
O0009584,2024-01-01,C01301,Isha Joshi,Mumbai,Maharashtra,West,P0120,Running Shoes 4,Sports,1,5979.37,3406.94,10,597.94,222.08,5979.37,5381.43,3629.02,1752.41,32.56,UPI,Processing,,WH-South
